Timestamp,Module,Run Type,Equation,Operator,Initial Condition,Path,Metadata
2026-06-17 15:29:58,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_152955\shallow_water_lax_w_gradient_shallow_dam_N2000_20260617_152955,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 15:29:59,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_152955\shallow_water_lax_w_gradient_shallow_dam_N4000_20260617_152955,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 15:35:41,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153538\shallow_water_lax_f_gradient_shallow_dam_N1000_20260617_153538,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:35:41,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153538\shallow_water_lax_w_gradient_shallow_dam_N1000_20260617_153538,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:36:05,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_f_gradient_shallow_dam_N500_20260617_153601,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 15:36:05,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_w_gradient_shallow_dam_N500_20260617_153601,"{'N': 500, 'dt': 0.02, 'dx': 1.0}"
2026-06-17 15:36:06,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_f_gradient_shallow_dam_N1000_20260617_153601,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:36:06,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_w_gradient_shallow_dam_N1000_20260617_153601,"{'N': 1000, 'dt': 0.01, 'dx': 0.5}"
2026-06-17 15:36:07,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_f_gradient_shallow_dam_N2000_20260617_153601,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 15:36:08,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_w_gradient_shallow_dam_N2000_20260617_153601,"{'N': 2000, 'dt': 0.005, 'dx': 0.25}"
2026-06-17 15:36:10,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_f_gradient_shallow_dam_N4000_20260617_153601,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 15:36:11,main,sweep,shallow_water,gradient,shallow_dam,pipeline_results\sweeps\shallow_water_lax_w_gradient_shallow_dam_sweep_20260617_153601\shallow_water_lax_w_gradient_shallow_dam_N4000_20260617_153601,"{'N': 4000, 'dt': 0.0025, 'dx': 0.125}"
2026-06-17 16:13:18,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161255\advection_rk4_upwind_advec_gauss_N5000_20260617_161255,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 16:13:18,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161255\advection_rk4_gradient_advec_gauss_N5000_20260617_161255,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 16:13:41,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161336\advection_rk4_upwind_advec_gauss_N2500_20260617_161336,"{'N': 2500, 'dt': 0.01, 'dx': 0.1}"
2026-06-17 16:13:41,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161336\advection_rk4_gradient_advec_gauss_N2500_20260617_161336,"{'N': 2500, 'dt': 0.01, 'dx': 0.1}"
2026-06-17 16:13:44,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161336\advection_rk4_gradient_advec_gauss_N5000_20260617_161336,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 16:13:44,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161336\advection_rk4_upwind_advec_gauss_N5000_20260617_161336,"{'N': 5000, 'dt': 0.005, 'dx': 0.05}"
2026-06-17 16:13:51,main,sweep,advection,upwind,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161336\advection_rk4_upwind_advec_gauss_N10000_20260617_161336,"{'N': 10000, 'dt': 0.0025, 'dx': 0.025}"
2026-06-17 16:13:51,main,sweep,advection,gradient,advec_gauss,pipeline_results\sweeps\advection_rk4_upwind_advec_gauss_sweep_20260617_161336\advection_rk4_gradient_advec_gauss_N10000_20260617_161336,"{'N': 10000, 'dt': 0.0025, 'dx': 0.025}"
